market_key,market_name,province,geography_type,status,source_name,source_url,source_date,confidence,profile_notes,population,population_notes,population_growth_percent,population_growth_percent_notes,unemployment_rate_percent,unemployment_rate_percent_notes,median_household_income,median_household_income_notes
abbotsford_mission_bc,Abbotsford-Mission,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,195726,Abbotsford - Mission population in the 2021 Census.,8.4,Population change from 2016 to 2021 for Abbotsford - Mission.,7.6,Census unemployment rate for the population aged 15+ in Abbotsford - Mission.,82000,Median after-tax household income in 2020 for Abbotsford - Mission.
campbell_river_bc,Campbell River,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,40704,Campbell River population in the 2021 Census.,7.5,Population change from 2016 to 2021 for Campbell River.,8.9,Census unemployment rate for the population aged 15+ in Campbell River.,70500,Median after-tax household income in 2020 for Campbell River.
chilliwack_bc,Chilliwack,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,113767,Chilliwack population in the 2021 Census.,12.1,Population change from 2016 to 2021 for Chilliwack.,6.8,Census unemployment rate for the population aged 15+ in Chilliwack.,74000,Median after-tax household income in 2020 for Chilliwack.
courtenay_bc,Courtenay,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,63282,Courtenay population in the 2021 Census.,9.2,Population change from 2016 to 2021 for Courtenay.,8,Census unemployment rate for the population aged 15+ in Courtenay.,69000,Median after-tax household income in 2020 for Courtenay.
cranbrook_bc,Cranbrook,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,27040,Cranbrook population in the 2021 Census.,3.7,Population change from 2016 to 2021 for Cranbrook.,7.2,Census unemployment rate for the population aged 15+ in Cranbrook.,75500,Median after-tax household income in 2020 for Cranbrook.
dawson_creek_bc,Dawson Creek,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,17878,Dawson Creek population in the 2021 Census.,-5.4,Population change from 2016 to 2021 for Dawson Creek.,9.2,Census unemployment rate for the population aged 15+ in Dawson Creek.,76000,Median after-tax household income in 2020 for Dawson Creek.
duncan_bc,Duncan,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,47582,Duncan population in the 2021 Census.,7,Population change from 2016 to 2021 for Duncan.,7.5,Census unemployment rate for the population aged 15+ in Duncan.,69000,Median after-tax household income in 2020 for Duncan.
fort_st_john_bc,Fort St. John,BC,ca,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,28729,Fort St. John population in the 2021 Census.,1.2,Population change from 2016 to 2021 for Fort St. John.,8.8,Census unemployment rate for the population aged 15+ in Fort St. John.,91000,Median after-tax household income in 2020 for Fort St. John.
kamloops_bc,Kamloops,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,114142,Kamloops population in the 2021 Census.,10,Population change from 2016 to 2021 for Kamloops.,7.6,Census unemployment rate for the population aged 15+ in Kamloops.,77000,Median after-tax household income in 2020 for Kamloops.
kelowna_bc,Kelowna,BC,cma,active,Statistics Canada 2021 Census,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm?Lang=E,,high,Bulk-generated from official Statistics Canada 2021 Census Profile data. CMHC housing fundamentals are read separately from market_reference_data.,222162,Kelowna population in the 2021 Census.,14,Population change from 2016 to 2021 for Kelowna.,8,Census unemployment rate for the population aged 15+ in Kelowna.,75500,Median after-tax household income in 2020 for Kelowna.
